generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
108,2024-06-29 19:33:50,2024-06-29 19:35:48,118,0.17474580907230772,128,13824
109,2024-06-29 19:35:48,2024-06-29 19:37:45,117,0.17474268716997515,128,13952
110,2024-06-29 19:37:45,2024-06-29 19:39:46,121,0.17480223830325062,128,14080
111,2024-06-29 19:39:46,2024-06-29 19:41:43,117,0.1748896167709181,128,14208
112,2024-06-29 19:41:43,2024-06-29 19:43:44,121,0.1748416116542928,128,14336
113,2024-06-29 19:43:44,2024-06-29 19:45:43,119,0.17463727268116627,128,14464
114,2024-06-29 19:45:43,2024-06-29 19:47:42,119,0.17472600827709678,128,14592
115,2024-06-29 19:47:42,2024-06-29 19:49:40,118,0.17468503003493796,128,14720
116,2024-06-29 19:49:40,2024-06-29 19:51:37,117,0.17463577241183625,128,14848
117,2024-06-29 19:51:37,2024-06-29 19:53:34,117,0.17463214641248137,128,14976
118,2024-06-29 19:53:34,2024-06-29 19:55:31,117,0.1746828802176179,128,15104
119,2024-06-29 19:55:31,2024-06-29 19:57:28,117,0.174664537618139,128,15232
120,2024-06-29 19:57:28,2024-06-29 19:59:31,123,0.17480523871049627,128,15360
121,2024-06-29 19:59:31,2024-06-29 20:01:28,117,0.17467037565913154,128,15488
122,2024-06-29 20:01:28,2024-06-29 20:03:25,117,0.174519335990273,128,15616
123,2024-06-29 20:03:25,2024-06-29 20:05:23,118,0.1753237403794293,128,15744
124,2024-06-29 20:05:23,2024-06-29 20:07:23,120,0.17544864726667495,128,15872
125,2024-06-29 20:07:23,2024-06-29 20:09:26,123,0.17552458791593054,128,16000
126,2024-06-29 20:09:26,2024-06-29 20:11:26,120,0.17558966128307696,128,16128
127,2024-06-29 20:11:26,2024-06-29 20:13:23,117,0.175547253715335,128,16256
128,2024-06-29 20:13:23,2024-06-29 20:15:26,123,0.17562981318635235,128,16384
129,2024-06-29 20:15:26,2024-06-29 20:17:22,116,0.1755073117151365,128,16512
130,2024-06-29 20:17:22,2024-06-29 20:19:19,117,0.17557139071379652,128,16640
131,2024-06-29 20:19:19,2024-06-29 20:21:16,117,0.17564580445436723,128,16768
132,2024-06-29 20:21:16,2024-06-29 20:23:13,117,0.17559949210027295,128,16896
133,2024-06-29 20:23:13,2024-06-29 20:25:10,117,0.1755886109957072,128,17024
134,2024-06-29 20:25:10,2024-06-29 20:27:07,117,0.1756833743350869,128,17152
135,2024-06-29 20:27:07,2024-06-29 20:29:04,117,0.17568907514895782,128,17280
136,2024-06-29 20:29:04,2024-06-29 20:31:06,122,0.17568151717449135,128,17408
137,2024-06-29 20:31:06,2024-06-29 20:33:03,117,0.17570717638325062,128,17536
138,2024-06-29 20:33:03,2024-06-29 20:35:00,117,0.17569019551305212,128,17664
139,2024-06-29 20:35:00,2024-06-29 20:36:56,116,0.17566992660099254,128,17792
140,2024-06-29 20:36:56,2024-06-29 20:38:53,117,0.17570968558970224,128,17920
141,2024-06-29 20:38:53,2024-06-29 20:40:50,117,0.17571207434218364,128,18048
142,2024-06-29 20:40:50,2024-06-29 20:42:47,117,0.17568309704727045,128,18176
143,2024-06-29 20:42:47,2024-06-29 20:44:47,120,0.17566767879997516,128,18304
144,2024-06-29 20:44:47,2024-06-29 20:46:48,121,0.17559750351101733,128,18432
145,2024-06-29 20:46:48,2024-06-29 20:48:45,117,0.175594243903598,128,18560
146,2024-06-29 20:48:45,2024-06-29 20:50:48,123,0.17561898187332506,128,18688
147,2024-06-29 20:50:48,2024-06-29 20:52:44,116,0.17556162811493792,128,18816
148,2024-06-29 20:52:44,2024-06-29 20:54:41,117,0.17564611108573203,128,18944
149,2024-06-29 20:54:41,2024-06-29 20:56:39,118,0.175701459476129,128,19072
150,2024-06-29 20:56:39,2024-06-29 20:58:36,117,0.17569711156910672,128,19200
151,2024-06-29 20:58:36,2024-06-29 21:00:33,117,0.1756514682789826,128,19328
152,2024-06-29 21:00:33,2024-06-29 21:02:38,125,0.17575094222086846,128,19456
153,2024-06-29 21:02:38,2024-06-29 21:04:35,117,0.17595338816761788,128,19584
154,2024-06-29 21:04:35,2024-06-29 21:06:39,124,0.17589812699937968,128,19712
155,2024-06-29 21:06:39,2024-06-29 21:08:35,116,0.17609648448997517,128,19840
156,2024-06-29 21:08:35,2024-06-29 21:10:32,117,0.17614549787826303,128,19968
157,2024-06-29 21:10:32,2024-06-29 21:12:29,117,0.17612956061719606,128,20096
158,2024-06-29 21:12:29,2024-06-29 21:14:27,118,0.17614430218799007,128,20224
159,2024-06-29 21:14:27,2024-06-29 21:16:25,118,0.176219949187469,128,20352
160,2024-06-29 21:16:25,2024-06-29 21:18:22,117,0.17622248738712162,128,20480
161,2024-06-29 21:18:22,2024-06-29 21:20:22,120,0.1762047363171216,128,20608
162,2024-06-29 21:20:22,2024-06-29 21:22:20,118,0.17620599791002486,128,20736
163,2024-06-29 21:22:20,2024-06-29 21:24:17,117,0.17629569724327546,128,20864
164,2024-06-29 21:24:17,2024-06-29 21:26:14,117,0.17627263107218363,128,20992
165,2024-06-29 21:26:14,2024-06-29 21:28:12,118,0.17637089979940448,128,21120
166,2024-06-29 21:28:12,2024-06-29 21:30:09,117,0.17634053786161288,128,21248
167,2024-06-29 21:30:09,2024-06-29 21:32:06,117,0.17629705218126548,128,21376
168,2024-06-29 21:32:06,2024-06-29 21:34:03,117,0.17629936411851121,128,21504
169,2024-06-29 21:34:03,2024-06-29 21:36:00,117,0.17634384769414393,128,21632
170,2024-06-29 21:36:00,2024-06-29 21:37:58,118,0.17632082043399508,128,21760
171,2024-06-29 21:37:58,2024-06-29 21:39:55,117,0.17629232801813896,128,21888
172,2024-06-29 21:39:55,2024-06-29 21:41:56,121,0.17628063496285362,128,22016
173,2024-06-29 21:41:56,2024-06-29 21:43:54,118,0.17624121749831265,128,22144
174,2024-06-29 21:43:54,2024-06-29 21:45:51,117,0.17627227654732014,128,22272
175,2024-06-29 21:45:51,2024-06-29 21:47:51,120,0.17624302293776672,128,22400
176,2024-06-29 21:47:51,2024-06-29 21:49:52,121,0.1763100323237469,128,22528
177,2024-06-29 21:49:52,2024-06-29 21:51:49,117,0.1764454713297271,128,22656
178,2024-06-29 21:51:49,2024-06-29 21:53:46,117,0.1764663509280149,128,22784
179,2024-06-29 21:53:46,2024-06-29 21:55:43,117,0.17644699759012408,128,22912
