Date,Canals to Kuraz Sugar Plantations
2031-03-02,77.045
2031-03-03,77.04
2031-03-04,77.04
2031-03-05,77.04
2031-03-06,77.04
2031-03-07,77.04
2031-03-08,77.04
2031-03-09,77.035
2031-03-10,77.03
2031-03-11,77.03
2031-03-12,77.03
2031-03-13,77.03
2031-03-14,77.025
2031-03-15,77.02
2031-03-16,77.02
2031-03-17,77.02
2031-03-18,77.02
2031-03-19,77.02
2031-03-20,77.02
2031-03-21,77.02
2031-03-22,77.02
2031-03-23,77.02
2031-03-24,77.02
2031-03-25,77.02
2031-03-26,77.0
2031-03-27,77.0
2031-03-28,77.0
2031-03-29,77.0
2031-03-30,77.0
2031-03-31,77.0
2031-04-01,81.61500000000001
2031-04-02,81.61
2031-04-03,81.61
2031-04-04,81.61
2031-04-05,81.61
2031-04-06,81.61
2031-04-07,81.59
2031-04-08,81.59
2031-04-09,81.59
2031-04-10,81.59
2031-04-11,81.59
2031-04-12,81.59
2031-04-13,81.58
2031-04-14,81.58
2031-04-15,81.57499999999999
2031-04-16,81.57
2031-04-17,81.565
2031-04-18,81.56
2031-04-19,81.56
2031-04-20,81.56
2031-04-21,81.56
2031-04-22,81.555
2031-04-23,81.55
2031-04-24,81.545
2031-04-25,81.54
2031-04-26,81.54
2031-04-27,81.53
2031-04-28,81.53
2031-04-29,81.53
2031-04-30,81.53
2031-05-01,86.055
2031-05-02,86.05
2031-05-03,86.04
2031-05-04,86.04
2031-05-05,86.04
2031-05-06,86.04
2031-05-07,86.035
2031-05-08,86.03
2031-05-09,86.03
2031-05-10,86.03
2031-05-11,86.01
2031-05-12,86.01
2031-05-13,86.01
2031-05-14,86.01
2031-05-15,86.0
2031-05-16,86.0
2031-05-17,86.0
2031-05-18,86.0
2031-05-19,85.99
2031-05-20,85.99
2031-05-21,85.99
2031-05-22,85.97999999999999
2031-05-23,85.97
2031-05-24,85.97
2031-05-25,85.965
2031-05-26,85.96
2031-05-27,85.96
2031-05-28,85.96
2031-05-29,85.955
2031-05-30,85.95
2031-05-31,85.94
2031-06-01,90.15
2031-06-02,90.16
2031-06-03,90.16
2031-06-04,90.16
2031-06-05,90.17
2031-06-06,90.17
2031-06-07,90.18
2031-06-08,90.185
2031-06-09,90.19
2031-06-10,90.19
2031-06-11,90.19
2031-06-12,90.195
2031-06-13,90.2
2031-06-14,90.2
2031-06-15,90.2
2031-06-16,90.2
2031-06-17,90.21
2031-06-18,90.21
2031-06-19,90.21
2031-06-20,90.21
2031-06-21,90.22
2031-06-22,90.22
2031-06-23,90.22
2031-06-24,90.22
2031-06-25,90.22999999999999
2031-06-26,90.24
2031-06-27,90.24
2031-06-28,90.24
2031-06-29,90.24
2031-06-30,90.245
2031-07-01,93.92500000000001
2031-07-02,93.945
2031-07-03,93.975
2031-07-04,93.995
2031-07-05,94.025
2031-07-06,94.045
2031-07-07,94.065
2031-07-08,94.08500000000001
2031-07-09,94.10499999999999
2031-07-10,94.125
2031-07-11,94.13499999999999
2031-07-12,94.15
2031-07-13,94.16499999999999
2031-07-14,94.17500000000001
2031-07-15,94.185
2031-07-16,94.195
2031-07-17,94.2
2031-07-18,94.21
2031-07-19,94.21
2031-07-20,94.22
2031-07-21,94.22
2031-07-22,94.22
2031-07-23,94.22
2031-07-24,94.22
2031-07-25,94.22
2031-07-26,94.22
2031-07-27,94.22
2031-07-28,94.22
2031-07-29,94.22
2031-07-30,94.22
